X=1;#1_RESERVE ZZSEQ FAULT
X=5;#5_RESERVE ZZSEQ FAULT
X=6;#6_RESERVE ZZSEQ FAULT
X=20;#20_RESERVE ZZSEQ FAULT
X=8;#8_X NVM MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=4;#4_FAIL PLC ETHERNET
X=3;#3_FAIL PLC ETHERNET
X=17;#17_X ASB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=7;#7_XSB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=30;#30_X NSB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=24;#24_X BSB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=32;#32_RESERVE ZZSEQ FAULT
X=27;#27_X BSB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=2;#2_FAIL PLC ETHERNET
X=22;#22_X BSB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=12;#12_X ASB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=14;#14_X ASB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=18;#18_X ASB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=9;#9_RESERVE ZZSEQ FAULT
X=35;#35_RESERVE ZZSEQ FAULT
X=21;#21_X BSB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=29;#29_RESERVE ZZSEQ FAULT
X=25;#25_X BSB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=31;#31_RESERVE ZZSEQ FAULT
X=16;#16_X ASB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=26;#26_X BSB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=33;#33_RESERVE ZZSEQ FAULT
X=10;#10_X NSB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=55;#55_RESERVE ZZSEQ FAULT
X=36;#36_RESERVE ZZSEQ FAULT
X=19;#19_X AVM MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=34;#34_RESERVE ZZSEQ FAULT
X=38;#38_RESERVE ZZSEQ FAULT
X=15;#15_X ASB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=42;#42_X ASB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=49;#49_X BSB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=11;#11_X NSB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=43;#43_X AVM MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=60;#60_THE U STRATIX FAULT ETHERNET STRATIX
X=47;#47_RESERVE ZZSEQ FAULT
X=59;#59_XR VM MODULESTATUS ISLAND VALVE FAULT ETHERNET
